ID,SKU,Type,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Regular Price,Sale Price
,MD1792,variable,Beyaz Kol Detaylı Bluz,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,"https://st1.myideasoft.com/idea/ek/76/myassets/products/003/moda-celikler-logo-buyuk-boy-gif-mmadonna-yaka-ceket-7-gibeyaz-bluz.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/003/moda-celikler-beyaz-vluz.gif",,,,,,,,,0,RENK,"BEYAZ, SİYAH",1,,,,,,,,,
,MD1792_e86930,variation,Beyaz Kol Detaylı Bluz,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1792,,,,,,0,RENK,BEYAZ,,,,,,,,,99.99,
,MD1792_f05a41,variation,Beyaz Kol Detaylı Bluz,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1792,,,,,,0,RENK,SİYAH,,,,,,,,,99.99,
,MD1793,simple,Siyah Beyaz Kareli Süveter,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,"https://st3.myideasoft.com/idea/ek/76/myassets/products/006/moda-celikler-suveter-gif2.gif,https://st3.myideasoft.com/idea/ek/76/myassets/products/006/moda-celikler-suveter.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/006/moda-celikler-suveter-gif1.gif,https://st3.myideasoft.com/idea/ek/76/myassets/products/006/img-8461-facetune-22-12-2019-23-29-22.JPG",,,,,,,,,0,,,,,,,,,,,64.99,
,MD1794,variable,Yeşil Kapüşonlu Sweat,0,0,visible,,,,,taxable,,1,5,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,https://st2.myideasoft.com/idea/ek/76/myassets/products/007/moda-celikler-yesil-kapusonlu-sweat.gif,,,,,,,,,0,Beden,"L, M, S",1,,,,,,,,,
,MD1794_7ffbb0,variation,Yeşil Kapüşonlu Sweat,0,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1794,,,,,,0,Beden,L,,,,,,,,,69.99,
,MD1794_859a11,variation,Yeşil Kapüşonlu Sweat,0,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1794,,,,,,0,Beden,M,,,,,,,,,69.99,
,MD1794_889be2,variation,Yeşil Kapüşonlu Sweat,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1794,,,,,,0,Beden,S,,,,,,,,,69.99,
,MD1795,variable,Gri Kaşe Kaban,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,https://st3.myideasoft.com/idea/ek/76/myassets/products/011/img-6036.gif,,,,,,,,,0,Beden,"L, M, S",1,,,,,,,,,
,MD1795_7409a0,variation,Gri Kaşe Kaban,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1795,,,,,,0,Beden,L,,,,,,,,,199.99,
,MD1795_789ff1,variation,Gri Kaşe Kaban,0,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1795,,,,,,0,Beden,M,,,,,,,,,199.99,
,MD1795_7b5bf2,variation,Gri Kaşe Kaban,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1795,,,,,,0,Beden,S,,,,,,,,,199.99,
,MD1796,simple,Gri Boğazlı Kazak,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,https://st2.myideasoft.com/idea/ek/76/myassets/products/034/moda-celikler-gri-kazak.gif,,,,,,,,,0,,,,,,,,,,,89.99,
,MD1797,simple,Pembe Boğazlı Kazak,0,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,https://st1.myideasoft.com/idea/ek/76/myassets/products/035/moda-celikler-pembe-kazak.gif,,,,,,,,,0,,,,,,,,,,,89.99,
,MD1798,variable,Siyah Beyaz Puantiyeli Elbise,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Dresses ",,,"https://st1.myideasoft.com/idea/ek/76/myassets/products/044/moda-celikler-puantiyeli-lebise-gif1.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/044/moda-celikler-puantiyeli-lebise.gif,https://st1.myideasoft.com/idea/ek/76/myassets/products/044/moda-celikler-puantiyeli-lebise-gif2.gif",,,,,,,,,0,Beden,"L, M, S",1,,,,,,,,,
,MD1798_698e20,variation,Siyah Beyaz Puantiyeli Elbise,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Dresses ",,,,,,MD1798,,,,,,0,Beden,L,,,,,,,,,129.59,
,MD1798_71dbd1,variation,Siyah Beyaz Puantiyeli Elbise,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Dresses ",,,,,,MD1798,,,,,,0,Beden,M,,,,,,,,,129.59,
,MD1798_75ad72,variation,Siyah Beyaz Puantiyeli Elbise,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Dresses ",,,,,,MD1798,,,,,,0,Beden,S,,,,,,,,,129.59,
,MD1799,variable,Mavi Worst Behavior Sweat,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,"https://st3.myideasoft.com/idea/ek/76/myassets/products/048/moda-celikler-lacivert-sweat.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/048/moda-celikler-lacivert-sweat-gif1.gif,https://st3.myideasoft.com/idea/ek/76/myassets/products/048/moda-celikler-lacivert-sweat-gif2.gif",,,,,,,,,0,Beden,"L, M, S, XS",1,,,,,,,,,
,MD1799_190b70,variation,Mavi Worst Behavior Sweat,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1799,,,,,,0,Beden,L,,,,,,,,,79.99,
,MD1799_1e94d1,variation,Mavi Worst Behavior Sweat,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1799,,,,,,0,Beden,M,,,,,,,,,79.99,
,MD1799_21af02,variation,Mavi Worst Behavior Sweat,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1799,,,,,,0,Beden,S,,,,,,,,,79.99,
,MD1799_6b9943,variation,Mavi Worst Behavior Sweat,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1799,,,,,,0,Beden,XS,,,,,,,,,79.99,
,MD1800,variable,Beyaz Kapüşonlu Sweat,0,0,visible,,,,,taxable,,1,14,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,"https://st2.myideasoft.com/idea/ek/76/myassets/products/052/moda-celikler-beyaz-sweat.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/052/moda-celikler-beyaz-sweat-gif1.gif",,,,,,,,,0,Beden,"L, M, S",1,,,,,,,,,
,MD1800_6e4dd0,variation,Beyaz Kapüşonlu Sweat,0,0,visible,,,,,taxable,,1,5,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1800,,,,,,0,Beden,L,,,,,,,,,69.99,
,MD1800_740a71,variation,Beyaz Kapüşonlu Sweat,0,0,visible,,,,,taxable,,1,5,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1800,,,,,,0,Beden,M,,,,,,,,,69.99,
,MD1800_7753a2,variation,Beyaz Kapüşonlu Sweat,0,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Jumpers, All products > Clothing > Tops",,,,,,MD1800,,,,,,0,Beden,S,,,,,,,,,69.99,
,MD1801,variable,Şişme Rugan Mont,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,"https://st1.myideasoft.com/idea/ek/76/myassets/products/056/moda-celikler-yeni-mont.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/056/moda-celikler-yeni-mont-gif1.gif",,,,,,,,,0,Beden,"L, M, S",1,,,,,,,,,
